topic id,Connected nodes
5182,[9491 7600 6359 1558 9288 9475 7636 7504]
3,[ 1  3  8  5  2  9 10 11 12 13  4 14  0 37 33 35 94 16]
3674,[  49 7504 7346 6271 6168 6269 3491]
7,[1]
8,[1]
9,[1]
5167,[6321 7508 1558 2170    4 7346 7424 2220 8102 6269]
5168,[ 353 9335 7508    1 9288 6113 9373 9475 8816 2220 8736 9548 9503 7816]
11,"[  16    4    1   12    5    8    2    7   11    9   41   49   47   14
   55   19   13   44   54   67   85    3   29  112  129   53  132   65
   72  130  161  100  108    0   40   23  142  101  190  164  206  139
  143  125   25  246  261  146  287  279  133  329  293 1558  188 2082
 2099  333 2144 3491  288 6117 6113 6120 4873 1730 1066  342 6150 6176
 2392 6155 6359 7958 6254 7643 7481 8232 8971 8117 4151 6249 7903 9112
 2075 9288 7816 9476 9531 9393 7760 6237 9335 9503 7636 6321 9174 9571]"
4306,[1]
4302,[7636   85  326]
27,[  9   7   1  13 279  84]
3676,"[6254 1986 6168  132 3721   49 1558 7364    7 6278  283 9475 6249   53
    4    2   16  288 6235  353    3 2306   56 6269 6359]"
14,[9]
15,[ 9 35  7 56 40]
16,[9]
17,"[   9    0    7   40   68   14   85  138  150  168    4  161   72  326
  158  279   11   16   67  317  132 2099  288 1104  164 6106 2037 6115
  821  274  130 3721   54 6190  353 6144 9174 9503 9393]"
3670,"[6271    1  283  287  353   49    7  281    0 6151 7346 7508  505  207
  132  288 7504 7604]"
3721,[2306]
3684,[6106 3721 2820 6290  505  287 2220    4 7567 7622  158 7424 7616]
18,[  1   7  16  41   9 144]
19,[   1 9446]
20,[1]
21,[   1   68  152    7 9353]
22,"[   1    3    2   19   11   16   12   20    4    9   37   49   67   40
   65  183  281  279  288  100  283  274 2099 2392 4339 6145 1066 6117
  132 6247 9475 2220 2820 6321    0 6113 6254 1558 7481 6278 7427 6122
  164 8117 8102 9335 8232 9393 9531 9503 7760 9610 7424]"
1250,[329 287 130 331  64   7  56  68 335  67   2  91 336]
60,[  3   9  67 283]
24,"[   1   16   43   67   13    9   68   19   73    0  111  164  130   54
    4  158  183  236  279  298 2351  188  274  288  255 2099 1558 2392
 8026 9475]"
4382,[7636 3721 6113  130 3491 7760 7346 7903 8059 6168  274 4873]
3697,[ 168    0 6359 7508    2    1 3721 6322  287 9503]
26,[1]
30,[9 1]
31,[ 9 68 49 19  2  7  5]
32,[1]
33,[5]
34,"[6269    8   14    5   16    3    1   12    7   11 7508 6151   13    9
    2   17   29    4   20   49   54   44 7600   53   73   89   56   67
   62   35  100  101  108  132  129    0   23  142  130  143 6247  191
   65  197 3721 6274 7739  161  125   72   68  146  364  335  261 9571
 9217 9112 9679  240  204  246  151  164   10  279   28  283  320 6322
  236  331  329  131  353  274 2392  342 7424  293  372  239   50 1109
 1558 7760  112  317 1744 1209  288 2075  298 1772 1812 2082 2205 2099
 2220   84 2144 9503 1986 2027 1793  495   25  958 4151 3491  281 9916
 6113 5359  821 2306 9583 8192  805 2037 9668  991  333 1066 6122 6134
 9288 6165 6171 4873 6174 6176 6155 2750 6117 5805 9931 6207 6217 5343
 6168 6149 6237 6145 6254 6266 2820 6280 6310 6359  168 7405 6278 7616
 7504 7543 9568 9510 9446 7346 9950 9475 6321 7719 7636 6249 7720 6260
 7846 7481 7875 9393 7958 8232 7816 7986 7903 8151 8133 8059 8018 8060
 9334 7643 2170 9267 8982 9109 9144 9176 9150 7620 9210 7962 9174 8310
 8260 9322 8736 9491 9512 9531 9534 9496 9555  287 8346 9476 9304 9606
 7757 9620 9673 9549 9149 9698 9519 9353 9720 9694 9742 9521 9681 9690
 9863 9363 9876 9905 9910 9634 9943]"
5736,[9719 7424 9679    1 9144 6217 1558 8816 7504  283 2220 9519 9571 9852]
5034,[9364 9144 1558 9288 7481    1 9217 8125 6113]
4290,"[9149 7719 6278 3721 9876  287 9288 7636 7958  288 9912 4873 9950 7424
   56 7953 7508  283 2075  158 9144 9446 8192 9521]"
35,[14  2  9  5 16]
36,[ 7  9 12  5]
37,[16  9  1  2  4 14  8  3]
38,[17  9]
